ZoomEncPos	Actual_Meas_Magn
11436	3.448655
11441	3.463109
11446	3.475326
11451	3.489542
11456	3.503067
11461	3.517808
11466	3.530196
11471	3.543933
11476	3.556673
11481	3.570612
11486	3.583317
11491	3.598408
11496	3.611268
11501	3.626032
11506	3.639163
11511	3.653921
11516	3.667312
11521	3.682423
11526	3.696267
11531	3.711357
11536	3.724342
11541	3.738768
11546	3.752158
11551	3.767464
11556	3.780663
11561	3.796379
11566	3.810308
11571	3.825946
11576	3.839603
11581	3.855452
11586	3.869656
11591	3.886309
11596	3.900138
11601	3.91576
11606	3.929662
11611	3.945287
11616	3.959215
11621	3.975027
11626	3.989438
11631	4.005945
11636	4.02057
11641	4.03674
11646	4.051478
11651	4.068953
11656	4.084178
11661	4.101217
11666	4.115808
11671	4.132146
11676	4.146244
11681	4.162925
11686	4.177435
11691	4.194792
11696	4.20987
11701	4.226927
11706	4.242882
11711	4.259551
11716	4.275126
11721	4.292936
11726	4.308985
11731	4.326405
11736	4.3419
11741	4.358568
11746	4.373426
11751	4.391569
11756	4.407507
11761	4.425284
11766	4.441625
11771	4.459563
11776	4.475652
11781	4.494208
11786	4.510887
11791	4.530222
11796	4.545451
11801	4.56431
11806	4.5794
11811	4.597394
11816	4.613357
11821	4.63159
11826	4.647534
11831	4.666541
11836	4.683415
11841	4.702188
11846	4.719863
11851	4.738796
11856	4.756216
11861	4.776753
11866	4.79237
11871	4.812134
11876	4.827565
11881	4.847529
11886	4.864293
11891	4.883883
11896	4.901569
11901	4.92155
11906	4.939135
11911	4.958879
11916	4.976382
11921	4.997918
11926	5.016185
11931	5.036681
11936	5.05299
11941	5.073519
11946	5.090061
11951	5.110887
11955	5.114514
11960	5.136294
11965	5.157322
11970	5.175649
11975	5.196848
11980	5.215085
11985	5.236633
11990	5.255914
11995	5.27867
12000	5.296056
12005	5.317433
12010	5.33533
12015	5.131833
12020	5.375444
12025	5.397947
12030	5.416338
12035	5.438854
12040	5.458445
12045	5.481494
12050	5.500718
12055	5.524095
12060	5.544643
12065	5.567785
12070	5.58585
12075	5.608871
12080	5.627598
12085	5.650037
12090	5.669676
12095	5.691967
12100	5.712219
12105	5.736047
12110	5.756119
12115	5.779611
12120	5.802007
12125	5.826444
12130	5.846744
12135	5.871397
12140	5.891121
12145	5.915316
12150	5.935042
12155	5.95983
12160	5.98155
12165	6.007027
12170	6.028807
12175	6.053337
12180	6.074195
12185	6.100172
12190	6.123107
12195	6.149799
12200	6.171493
12205	6.19607
12210	6.218413
12215	6.243764
12220	6.264051
12225	6.290336
12230	6.311922
12235	6.338213
12240	6.361767
12245	6.387121
12250	6.411403
12255	6.439131
12260	6.462161
12265	6.489317
12270	6.512206
12275	6.538422
12280	6.561189
12285	6.587861
12290	6.610068
12295	6.637555
12300	6.661683
12305	6.689422
12310	6.713522
12315	6.741197
12320	6.766078
12325	6.795496
12330	6.818416
12335	6.848191
12340	6.871131
12345	6.899932
12350	6.923325
12355	6.951187
12360	6.973718
12365	7.00366
12370	7.028367
12375	7.057266
12380	7.083592
12385	7.114122
12390	7.139967
12395	7.170457
12400	7.194266
12405	7.224813
12410	7.249323
12415	7.278446
12420	7.303058
12425	7.332885
12430	7.359163
12435	7.390295
12440	7.417029
12445	7.44723
12450	7.475314
12455	7.506264
12460	7.534001
12465	7.565375
12470	7.589984
12475	7.621762
12480	7.648263
12485	7.67925
12490	7.705968
12495	7.738277
12500	7.766437
12505	7.799561
12510	7.827657
12515	7.860252
12520	7.889075
12525	7.921671
12530	7.949949
12535	7.983565
12540	8.00992
12545	8.042863
12550	8.069102
12555	8.10319
12560	8.130286
12565	8.164221
12570	8.195172
12575	8.226938
12580	8.257512
12585	8.291001
12590	8.322241
12595	8.357957
12600	8.385556
12605	8.422089
12610	8.449303
12615	8.485214
12620	8.513118
12625	8.548806
12630	8.577433
12635	8.613144
12640	8.644818
12645	8.679694
12650	8.711492
12655	8.749575
12660	8.778243
12665	8.817414
12670	8.844904
12675	8.882413
12680	8.912652
12685	8.948403
12690	8.979115
12695	9.016042
12700	9.045492
12705	9.08489
12710	9.116642
12715	9.153997
12720	9.186471
12725	9.227791
12730	9.258449
12735	9.299106
12740	9.329285
12745	9.367451
12750	9.398028
12755	9.436614
12760	9.46737
12765	9.508135
12770	9.540527
12775	9.580577
12780	9.614955
12785	9.655063
12790	9.689748
12795	9.732212
12800	9.763743
12805	9.804924
12810	9.838607
12815	9.87902
12820	9.910208
12825	9.95239
12830	9.985621
12835	10.028516
12840	10.063208
12845	10.104112
12850	10.141268
12855	10.186094
12860	10.220726
12865	10.265183
12870	10.299241
12875	10.342895
12880	10.3487
12885	10.419985
12890	10.444657
12895	10.498298
12900	10.531721
12905	10.542794
12910	10.542794
12915	10.659514
12920	10.696768
12925	10.711055
12930	10.779752
12935	10.825859
12940	10.861072
12945	10.909446
12950	10.944176
12955	10.991378
12960	11.026332
12965	11.075686
12970	11.11323
12975	11.160135
12980	11.198785
12985	11.246409
12990	11.285345
12995	11.335354
13000	11.371047
13005	11.420719
13010	11.456987
13015	11.507286
13020	11.5445
13025	11.591728
13030	11.630873
13035	11.682308
13040	11.722077
13045	11.771321
13050	11.814071
13055	11.86703
13060	11.905775
13065	11.960492
13070	11.999071
13075	12.051102
13080	12.091922
13085	12.144154
13090	12.184522
13095	12.236767
13100	12.278546
13105	12.332435
13110	12.373132
13115	12.427457
13120	12.469627
13125	12.524203
13130	12.567966
13135	12.622122
13140	12.662163
13145	12.717189
13150	12.758336
13155	12.814818
13160	12.855126
13165	12.910449
13170	12.953727
13175	13.010937
13180	13.056922
13185	13.112499
13190	13.161923
13195	13.216418
13200	13.262429
13205	13.317075
13210	13.363686
13215	13.419219
13220	13.463085
13225	13.5199
13230	13.566336
13235	13.621728
13240	13.670981
13245	13.727548
13250	13.779674
13255	13.838002
13260	13.887631
13265	13.945561
13270	13.994066
13275	14.050616
13280	14.098353
13285	14.155937
13290	14.203337
13295	14.263478
13300	14.314926
13305	14.376595
13310	14.382501
13315	14.488524
13320	14.54448
13325	14.567263
13330	14.567263
13335	14.716334
13340	14.75789
13345	14.75789
13350	14.75789
13355	14.75789
13360	14.989226
13365	15.033812
13370	15.105278
13375	15.166556
13380	15.221379
13385	15.287295
13390	15.34449
13395	15.40448
13400	15.461212
13405	15.522253
13410	15.577667
13415	15.639827
13420	15.694743
13425	15.758317
13430	15.816398
13435	15.879844
13440	15.938542
13445	16.00307
13449	16.086196
13454	16.083272
13459	16.089623
13464	16.094791
13469	16.091167
13474	16.093035
13479	16.080895
13484	16.090381
13489	16.093764
13494	16.083512
13499	16.09094
13504	16.092784
13509	16.090702
13514	16.093905
13519	16.080506
13524	16.089143
13529	16.092816
13534	16.082066
